Trfs,Ester_24h_CNT_F_S_S5_R1_001.flexbar_q.fastq,Ester_24h_CNT_F_S_S6_R1_001.flexbar_q.fastq,Ester_24h_CNT_M_S_S17_R1_001.flexbar_q.fastq,Ester_24h_CNT_M_S_S18_R1_001.flexbar_q.fastq,Ester_24h_LPS_F_S_S7_R1_001.flexbar_q.fastq,Ester_24h_LPS_M_S_S19_R1_001.flexbar_q.fastq,Ester_24h_LPS_M_S_S20_R1_001.flexbar_q.fastq,Ester_24h_PS_F_S_S8_R1_001.flexbar_q.fastq,Ester_4h_CNT_F_S_S1_R1_001.flexbar_q.fastq,Ester_4h_CNT_F_S_S2_R1_001.flexbar_q.fastq,Ester_4h_CNT_M_S_S13_R1_001.flexbar_q.fastq,Ester_4h_CNT_M_S_S14_R1_001.flexbar_q.fastq,Ester_4h_LPS_F_S_S3_R1_001.flexbar_q.fastq,Ester_4h_LPS_F_S_S4_R1_001.flexbar_q.fastq,Ester_4h_LPS_M_S_S15_R1_001.flexbar_q.fastq,Ester_4h_LPS_M_S_S16_R1_001.flexbar_q.fastq,Ester_7d_CNT_F_S_S10_R1_001.flexbar_q.fastq,Ester_7d_CNT_F_S_S9_R1_001.flexbar_q.fastq,Ester_7d_CNT_M_S_S21_R1_001.flexbar_q.fastq,Ester_7d_CNT_M_S_S22_R1_001.flexbar_q.fastq,Ester_7d_LPS_F_S_S11_R1_001.flexbar_q.fastq,Ester_7d_LPS_F_S_S12_R1_001.flexbar_q.fastq,Ester_7d_LPS_M_S_S23_R1_001.flexbar_q.fastq,Ester_7d_LPS_M_S_S24_R1_001.flexbar_q.fastq
tRF-18-B689XXD2,30.47,41.61,22.62,58.21,83.75,19.12,161.11,19.48,15.05,18.67,70.86,41.7,3.31,30.88,28.82,29.61,38.54,43.07,12.63,53.84,14.48,22.98,42.68,43.59
tRF-18-BS68BFD2,853.05,405.73,565.57,1292.32,2428.68,1185.3,1187.33,561.04,602.08,1365.73,783.61,741.4,330.86,825.03,910.83,258.61,447.01,437.84,795.44,1049.95,464.78,667.96,838.15,1384.12
tRF-18-F8DHXYD9,40.62,5.2,33.93,34.93,13.96,23.9,17.51,15.58,40.14,15.56,50.02,27.8,4.63,0.0,0.0,0.0,15.41,14.36,6.31,26.92,1.45,4.92,15.52,21.8
tRF-18-H7PU4HD2,1172.94,405.73,325.2,1269.04,4536.32,879.41,868.61,802.6,341.18,671.98,725.26,1274.27,149.55,480.9,945.41,286.24,647.4,1083.84,587.11,969.19,470.57,1532.86,481.16,1068.06
tRF-18-H9R8B7D2,4321.09,1440.88,1705.19,4936.43,12799.4,5109.21,3898.22,2396.11,1996.91,3997.64,4155.66,5041.5,1062.74,2071.41,4018.01,1377.92,3234.42,4148.75,2563.1,3701.76,2182.02,5205.81,2537.73,4435.73
tRF-18-HR0VX6D2,1995.52,759.45,1258.39,2666.14,6741.67,2595.23,2336.13,1277.93,883.06,1751.49,2471.72,1936.9,562.47,1089.75,2000.36,989.02,1220.29,1098.2,1837.1,3271.01,968.66,2100.71,1567.65,3901.69
tRF-18-HRF8X7D2,380.82,114.44,107.46,465.7,1437.66,439.71,399.28,225.97,125.43,329.77,450.16,556.05,58.89,178.68,322.82,132.26,290.3,279.93,176.77,417.29,251.94,420.14,275.5,490.44
tRF-18-HRH7MSD2,147.25,46.82,56.56,232.85,516.44,195.96,210.15,58.44,40.14,149.33,137.55,162.18,25.81,90.44,184.47,53.3,105.33,165.09,88.38,161.53,59.36,165.76,100.89,130.78
tRF-18-HRMFWRV,15.23,7.8,16.97,11.64,97.71,14.34,21.01,15.58,10.03,9.33,29.18,27.8,4.63,22.06,5.76,17.77,17.98,21.53,6.31,13.46,13.03,72.21,38.8,0.0
tRF-18-HSQSD2D2,578.85,304.3,407.21,2107.3,1158.51,391.91,458.82,354.55,220.76,622.2,533.52,625.55,85.36,335.31,576.47,169.77,249.2,373.24,637.62,982.65,228.77,434.91,442.36,741.1
tRF-18-HSRVK7D2,695.64,192.46,271.47,1059.47,2610.13,908.09,668.97,436.36,301.04,678.2,646.06,551.41,146.9,355.16,593.77,268.48,295.44,394.78,511.36,780.73,408.31,718.84,450.12,915.48
tRF-18-I958M80E,10.16,20.81,36.76,186.28,97.71,62.13,21.01,35.07,25.09,28.0,25.01,37.07,9.26,13.24,92.24,15.79,33.4,157.91,63.13,80.77,20.27,16.41,38.8,65.39
tRF-18-JMRPFQDY,25.39,15.61,11.31,0.0,27.92,19.12,10.51,19.48,5.02,24.89,16.67,9.27,5.29,2.21,5.76,9.87,5.14,14.36,12.63,53.84,17.38,18.05,7.76,54.49
tRF-18-JZL4Q4DZ,20.31,10.4,14.14,34.93,27.92,14.34,0.0,3.9,10.03,40.44,25.01,9.27,4.63,15.44,34.59,17.77,12.85,28.71,6.31,53.84,8.69,9.85,0.0,21.8
tRF-18-MBQ4NKDJ,396.06,301.7,87.66,663.62,865.39,229.41,220.65,455.85,195.68,279.99,229.25,273.39,37.72,127.95,305.53,146.08,220.94,574.22,145.2,861.5,133.21,175.61,228.94,588.52
tRF-18-PS5P4P0K,45.7,23.41,59.38,81.5,55.83,33.46,49.03,50.65,40.14,96.44,50.02,50.97,29.12,46.33,109.53,49.35,64.23,21.53,44.19,0.0,44.89,47.59,62.09,32.7
tRF-18-PSQP4P0K,20.31,2.6,16.97,23.29,83.75,9.56,35.02,15.58,20.07,31.11,8.34,18.53,3.31,6.62,51.88,19.74,23.12,21.53,0.0,67.3,8.69,18.05,19.4,10.9
tRF-18-R29P4P04,182.8,72.82,158.36,314.35,418.74,133.82,227.66,132.47,135.47,342.21,191.74,129.74,129.7,150.01,184.47,163.85,179.83,193.8,75.76,174.99,143.34,303.62,108.65,141.68
tRF-18-RPM830D4,111.71,143.05,506.18,1385.46,181.45,28.68,1915.84,650.65,0.0,255.1,491.84,2367.83,684.89,604.44,334.35,21.72,12.85,21.53,138.89,13.46,13.03,24.62,958.44,54.49
tRF-18-RX6NMHD5,40.62,33.81,22.62,46.57,97.71,9.56,28.02,7.79,15.05,31.11,58.35,23.17,3.31,24.27,28.82,1.97,12.85,0.0,44.19,107.69,8.69,44.31,34.92,43.59
tRF-18-S3M83004,274.19,176.86,155.53,943.04,809.56,382.35,315.22,237.66,135.47,295.55,287.6,977.72,293.15,271.33,317.06,161.88,254.33,387.6,164.14,511.52,118.73,208.43,473.4,392.35
tRF-18-S5R83004,20.31,26.01,14.14,69.86,55.83,52.57,28.02,23.38,15.05,24.89,33.35,23.17,13.23,33.09,23.06,13.82,23.12,64.6,6.31,134.61,18.82,4.92,46.56,108.99
tRF-18-S5S8R6D2,86.32,23.41,50.9,128.07,334.99,66.91,147.1,77.92,35.12,52.89,66.69,134.38,15.88,48.53,86.47,27.64,74.5,57.42,18.94,94.23,53.57,75.49,65.97,87.19
tRF-18-S8V0J8DR,30.47,26.01,25.45,128.07,139.58,38.24,38.53,23.38,5.02,68.44,54.19,27.8,16.54,24.27,34.59,19.74,10.28,35.89,69.44,53.84,21.72,49.24,31.04,21.8
tRF-18-W3FJIKW,5.08,0.0,19.79,34.93,13.96,9.56,7.0,7.79,0.0,15.56,25.01,32.44,5.96,0.0,28.82,5.92,7.71,21.53,25.25,13.46,1.45,26.26,15.52,21.8
tRF-18-W96KM80E,0.0,10.4,33.93,11.64,13.96,23.9,0.0,0.0,20.07,24.89,12.5,18.53,4.63,2.21,46.12,5.92,25.69,57.42,12.63,53.84,0.0,1.64,15.52,43.59
tRF-18-W9RKM80E,10.16,7.8,36.76,34.93,83.75,23.9,10.51,3.9,20.07,34.22,12.5,23.17,3.97,8.82,11.53,15.79,25.69,57.42,18.94,67.3,8.69,4.92,19.4,108.99
tRF-18-WKXU53DJ,45.7,52.02,28.28,104.78,41.87,52.57,59.54,35.07,45.16,21.78,62.52,13.9,13.9,26.47,57.65,29.61,12.85,28.71,69.44,121.15,20.27,64.01,46.56,119.88
tRF-18-XRPM46D2,66.01,7.8,45.25,116.43,488.53,133.82,115.58,62.34,65.23,49.78,100.04,37.07,21.84,70.59,69.18,33.56,61.66,64.6,31.57,121.15,41.99,47.59,42.68,119.88
tRF-18-XZX5Q4DZ,5.08,10.4,28.28,116.43,139.58,19.12,31.52,19.48,20.07,34.22,16.67,13.9,7.28,33.09,51.88,3.95,0.0,21.53,31.57,134.61,1.45,3.28,11.64,21.8
tRF-18-YR66EFD2,30.47,31.21,25.45,46.57,125.62,81.25,140.1,46.75,25.09,37.33,62.52,50.97,14.56,28.68,69.18,19.74,15.41,28.71,18.94,134.61,14.48,26.26,34.92,21.8
tRF-18-YRRHQFD2,116.79,36.41,33.93,116.43,293.12,124.27,133.09,66.23,30.1,127.55,125.04,60.24,30.44,99.27,92.24,41.46,53.95,64.6,113.63,201.91,59.36,80.42,93.13,98.09
tRF-18-YSQSD2D2,1675.63,749.05,1374.33,4121.45,4257.16,2079.05,1558.59,868.83,747.59,1767.05,1946.53,1788.62,523.43,1069.9,2167.53,744.23,840.07,1162.8,1527.76,2180.67,958.52,1851.25,1501.68,2441.28
tRF-18-ZKXU53DJ,5.08,7.8,22.62,46.57,41.87,19.12,28.02,31.17,5.02,21.78,12.5,13.9,5.29,4.41,23.06,0.0,15.41,28.71,0.0,107.69,8.69,27.9,15.52,21.8
tRF-19-18YKISIM,66.01,31.21,25.45,46.57,111.66,47.79,56.04,50.65,40.14,59.11,75.03,92.67,11.91,37.5,46.12,59.22,25.69,35.89,31.57,107.69,27.51,111.6,27.16,43.59
tRF-19-1PW4PU24,30.47,59.82,56.56,93.14,111.66,109.93,84.06,42.86,25.09,121.33,70.86,18.53,25.15,112.5,57.65,98.7,61.66,86.13,63.13,188.45,41.99,37.75,77.61,163.48
tRF-19-1SS2P4IR,55.85,7.8,50.9,209.57,125.62,100.37,52.54,70.13,5.02,115.11,87.53,46.34,13.23,30.88,69.18,15.79,7.71,143.56,75.76,26.92,15.93,41.03,73.73,54.49
tRF-19-1SS2PMER,71.09,70.22,67.87,128.07,167.49,66.91,70.05,77.92,65.23,152.44,150.05,46.34,29.78,26.47,126.82,45.4,56.52,57.42,31.57,94.23,26.06,116.52,128.05,272.46
tRF-19-3L90Q42E,5.08,2.6,14.14,0.0,27.92,9.56,31.52,15.58,10.03,6.22,20.84,13.9,4.63,17.65,23.06,15.79,46.24,35.89,50.5,26.92,14.48,8.21,34.92,65.39
tRF-19-73V2Y81W,40.62,36.41,33.93,81.5,55.83,71.69,28.02,54.55,30.1,37.33,33.35,37.07,9.93,46.33,40.35,41.46,20.55,35.89,18.94,53.84,15.93,41.03,31.04,32.7
tRF-19-7Q2WNIK1,15.23,5.2,5.66,69.86,83.75,19.12,21.01,42.86,25.09,52.89,16.67,32.44,5.96,11.03,11.53,11.84,15.41,14.36,0.0,26.92,2.9,14.77,23.28,32.7
tRF-19-8NWE6WIZ,66.01,13.0,31.11,81.5,27.92,47.79,21.01,35.07,10.03,37.33,16.67,27.8,8.6,13.24,40.35,19.74,48.81,43.07,56.82,53.84,4.34,19.69,31.04,21.8
tRF-19-8WI26WIZ,10.16,13.0,16.97,69.86,13.96,28.68,7.0,3.9,10.03,34.22,12.5,4.63,1.32,13.24,63.41,17.77,17.98,28.71,25.25,53.84,7.24,18.05,15.52,76.29
tRF-19-9N1EWJI5,223.42,122.24,180.98,512.27,474.57,234.19,234.66,148.05,135.47,267.55,166.73,171.45,43.01,90.44,213.29,110.55,159.28,294.29,176.77,390.37,104.25,351.21,225.06,425.04
tRF-19-B1RHODE2,30.47,7.8,11.31,69.86,55.83,19.12,28.02,31.17,10.03,74.66,4.17,37.07,13.23,19.85,17.29,5.92,7.71,14.36,6.31,94.23,23.17,8.21,27.16,43.59
tRF-19-D7M461J2,25.39,28.61,14.14,23.29,125.62,9.56,28.02,27.27,10.03,18.67,37.51,37.07,8.6,4.41,23.06,3.95,12.85,57.42,37.88,26.92,20.27,42.67,23.28,54.49
tRF-19-D7M4O1J2,121.86,36.41,28.28,151.35,181.45,47.79,63.04,66.23,90.31,59.11,12.5,148.28,22.5,35.3,40.35,39.48,38.54,86.13,6.31,13.46,56.47,159.19,54.32,54.49
tRF-19-DRFU8U25,81.24,23.41,5.66,93.14,153.54,23.9,49.03,38.96,20.07,40.44,12.5,37.07,12.57,15.44,34.59,15.79,28.26,150.73,6.31,53.84,23.17,14.77,31.04,54.49
tRF-19-HRJF3RE2,30.47,5.2,11.31,23.29,237.28,4.78,21.01,31.17,15.05,9.33,12.5,83.41,1.32,19.85,34.59,3.95,7.71,7.18,37.88,40.38,13.03,13.13,3.88,32.7
tRF-19-HRMF3RE2,248.81,93.63,53.73,256.14,725.81,86.03,98.07,253.25,60.21,74.66,58.35,384.6,12.57,130.15,121.06,69.09,71.93,86.13,75.76,201.91,124.52,244.54,89.25,174.38
tRF-19-HRMFWRE2,258.96,91.03,90.49,244.49,642.06,195.96,294.21,120.78,70.24,96.44,104.2,324.36,36.4,112.5,184.47,88.83,169.56,215.33,94.7,228.84,153.48,625.29,128.05,207.07
tRF-19-IR69OKE2,10.16,20.81,14.14,46.57,125.62,33.46,17.51,19.48,25.09,18.67,8.34,27.8,3.31,6.62,34.59,27.64,20.55,14.36,12.63,13.46,17.38,77.14,11.64,32.7
tRF-19-JMRPFQFX,45.7,26.01,22.62,81.5,125.62,47.79,35.02,31.17,10.03,59.11,25.01,13.9,15.22,48.53,23.06,13.82,15.41,7.18,12.63,26.92,14.48,59.08,38.8,32.7
tRF-19-JMRPFQIX,35.54,13.0,25.45,186.28,41.87,43.01,35.02,93.51,20.07,43.55,58.35,27.8,7.94,22.06,46.12,17.77,12.85,43.07,18.94,80.77,20.27,37.75,15.52,21.8
tRF-19-MBQ4NK12,35.54,28.61,14.14,58.21,69.79,9.56,45.53,70.13,15.05,43.55,20.84,13.9,6.62,17.65,34.59,15.79,30.83,43.07,25.25,40.38,23.17,31.18,27.16,10.9
tRF-19-MPW4PU24,40.62,5.2,16.97,34.93,55.83,52.57,10.51,23.38,30.1,59.11,29.18,13.9,19.19,30.88,17.29,33.56,25.69,35.89,31.57,107.69,10.14,14.77,38.8,54.49
tRF-19-PS5P4PJ4,15.23,13.0,33.93,69.86,83.75,66.91,101.57,38.96,20.07,68.44,50.02,32.44,37.72,44.12,92.24,65.15,28.26,21.53,50.5,67.3,27.51,95.19,34.92,54.49
tRF-19-R29P4PJZ,162.49,41.61,96.15,116.43,418.74,100.37,94.57,93.51,125.43,108.89,100.04,101.94,33.09,63.97,155.65,185.56,182.4,165.09,50.5,201.91,185.33,68.93,46.56,185.28
tRF-19-RK9P4PJZ,76.16,41.61,16.97,104.78,167.49,133.82,52.54,70.13,50.17,43.55,83.36,60.24,17.2,28.68,80.71,45.4,82.21,122.02,37.88,228.84,59.36,18.05,58.2,0.0
tRF-19-RKIP4OF4,50.78,7.8,127.25,69.86,125.62,81.25,133.09,38.96,35.12,121.33,87.53,97.31,95.29,92.65,74.94,63.17,46.24,71.78,37.88,26.92,86.88,159.19,93.13,65.39
tRF-19-RPM8301Z,15.23,18.21,25.45,69.86,27.92,0.0,136.6,27.27,0.0,18.67,95.87,60.24,52.94,35.3,17.29,1.97,7.71,0.0,12.63,13.46,5.79,0.0,54.32,0.0
tRF-19-S3M830JZ,106.63,223.67,209.26,791.69,237.28,9.56,290.7,264.94,5.02,171.11,450.16,2177.85,492.99,277.95,178.71,23.69,64.23,86.13,164.14,80.77,40.54,19.69,776.06,10.9
tRF-19-S998LOJ4,15.23,5.2,48.07,58.21,27.92,38.24,45.53,35.07,35.12,46.67,41.68,115.84,45.0,37.5,69.18,53.3,33.4,14.36,31.57,13.46,68.05,18.05,65.97,10.9
tRF-19-UJJKIWIZ,20.31,13.0,42.42,128.07,83.75,28.68,52.54,50.65,30.1,77.78,16.67,23.17,18.53,33.09,98.0,35.53,23.12,28.71,31.57,40.38,20.27,49.24,23.28,43.59
tRF-19-V47P59I8,228.49,67.62,161.19,349.28,167.49,167.28,157.61,144.16,85.3,230.21,212.58,97.31,58.23,132.36,155.65,197.41,69.36,86.13,113.63,161.53,59.36,169.04,128.05,54.49
tRF-19-V47PU9J8,10.16,5.2,14.14,0.0,0.0,105.15,17.51,11.69,20.07,24.89,12.5,46.34,5.29,13.24,34.59,1.97,12.85,14.36,18.94,40.38,13.03,31.18,11.64,10.9
tRF-19-VBY9PY1I,10.16,2.6,2.83,23.29,0.0,38.24,28.02,7.79,0.0,31.11,20.84,4.63,1.32,8.82,40.35,3.95,20.55,7.18,25.25,0.0,14.48,19.69,11.64,10.9
tRF-19-W3FJIKE5,20.31,5.2,19.79,23.29,41.87,4.78,24.52,3.9,0.0,24.89,16.67,4.63,3.97,2.21,17.29,9.87,10.28,14.36,25.25,53.84,1.45,16.41,15.52,0.0
tRF-19-W7WK6WIZ,5.08,13.0,16.97,58.21,41.87,23.9,7.0,19.48,10.03,15.56,33.35,13.9,3.97,0.0,17.29,9.87,10.28,28.71,18.94,26.92,10.14,6.56,7.76,0.0
tRF-19-XSXMSL24,40.62,41.61,67.87,151.35,69.79,181.62,84.06,23.38,75.26,146.22,54.19,13.9,41.03,70.59,34.59,63.17,59.09,43.07,50.5,174.99,47.78,22.98,108.65,141.68
tRF-20-18YKISQI,238.65,265.29,152.7,337.63,348.95,248.53,171.62,210.39,170.59,195.99,291.77,236.32,90.66,127.95,317.06,193.46,197.82,186.62,328.28,457.67,131.76,247.82,225.06,425.04
tRF-20-1EWJQ72S,10.16,26.01,14.14,11.64,13.96,14.34,17.51,0.0,10.03,0.0,8.34,9.27,0.66,4.41,5.76,3.95,30.83,21.53,0.0,26.92,8.69,13.13,7.76,10.9
tRF-20-1SS2P46I,0.0,2.6,8.48,23.29,83.75,33.46,3.5,3.9,5.02,28.0,29.18,46.34,2.65,4.41,17.29,13.82,12.85,14.36,0.0,13.46,1.45,14.77,3.88,10.9
tRF-20-1SS2PMFI,15.23,20.81,11.31,23.29,41.87,33.46,10.51,31.17,10.03,21.78,4.17,9.27,3.31,6.62,17.29,3.95,5.14,50.24,0.0,13.46,1.45,31.18,19.4,43.59
tRF-20-40KK5Y93,243.73,96.23,192.29,558.84,516.44,463.6,220.65,171.43,180.62,525.76,345.96,180.72,176.68,242.66,455.41,335.6,159.28,208.16,277.77,511.52,139.0,408.65,310.43,435.94
tRF-20-5R3JH926,5.08,18.21,5.66,23.29,41.87,14.34,24.52,7.79,20.07,21.78,25.01,64.87,4.63,8.82,28.82,11.84,53.95,93.31,25.25,134.61,14.48,42.67,23.28,21.8
tRF-20-73V2Y8L9,25.39,26.01,19.79,128.07,55.83,43.01,31.52,15.58,40.14,31.11,12.5,18.53,4.63,15.44,28.82,11.84,7.71,50.24,37.88,13.46,5.79,32.82,31.04,10.9
tRF-20-8NWE6WRN,5.08,7.8,16.97,23.29,13.96,9.56,10.51,3.9,15.05,34.22,12.5,18.53,0.66,8.82,5.76,7.9,15.41,35.89,25.25,53.84,5.79,9.85,23.28,98.09
tRF-20-9MUKL6O9,0.0,23.41,14.14,11.64,55.83,14.34,7.0,38.96,0.0,34.22,16.67,9.27,1.32,13.24,34.59,5.92,20.55,43.07,25.25,53.84,11.58,21.34,15.52,43.59
tRF-20-9N1EWJQ7,66.01,23.41,2.83,58.21,125.62,23.9,21.01,15.58,55.19,65.33,25.01,9.27,3.31,2.21,28.82,25.66,5.14,21.53,6.31,53.84,21.72,52.52,15.52,21.8
tRF-20-BMW36D46,50.78,13.0,5.66,58.21,97.71,23.9,10.51,19.48,25.09,15.56,4.17,69.51,2.65,6.62,5.76,19.74,30.83,50.24,6.31,13.46,15.93,45.95,3.88,0.0
tRF-20-JMRPFQRD,25.39,5.2,19.79,11.64,69.79,4.78,21.01,0.0,0.0,6.22,37.51,0.0,3.97,19.85,34.59,5.92,20.55,7.18,18.94,53.84,4.34,39.39,19.4,10.9
tRF-20-JOWU1M70,0.0,15.61,8.48,69.86,41.87,47.79,17.51,7.79,10.03,12.44,12.5,32.44,7.28,6.62,5.76,13.82,12.85,43.07,18.94,0.0,24.61,29.54,23.28,21.8
tRF-20-M0NK5Y93,15.23,2.6,28.28,23.29,41.87,4.78,17.51,7.79,0.0,24.89,20.84,13.9,5.96,6.62,34.59,0.0,10.28,14.36,25.25,0.0,15.93,9.85,23.28,32.7
tRF-20-R29P4P9L,35.54,15.61,11.31,69.86,111.66,4.78,17.51,54.55,20.07,24.89,29.18,27.8,5.29,19.85,34.59,15.79,35.97,64.6,6.31,94.23,14.48,21.34,46.56,0.0
tRF-20-RK9P4P9L,20.31,13.0,8.48,34.93,27.92,4.78,14.01,11.69,15.05,24.89,8.34,9.27,5.29,6.62,5.76,7.9,17.98,28.71,12.63,13.46,1.45,3.28,7.76,0.0
tRF-20-RP9830MM,15.23,0.0,5.66,69.86,13.96,14.34,28.02,27.27,10.03,12.44,16.67,92.67,17.87,2.21,11.53,0.0,0.0,0.0,0.0,0.0,1.45,1.64,15.52,10.9
tRF-20-RPM830MM,50.78,23.41,65.04,128.07,83.75,14.34,224.16,58.44,0.0,59.11,75.03,296.56,117.13,68.39,109.53,13.82,7.71,14.36,101.01,0.0,8.69,1.64,166.85,10.9
tRF-20-RX8HWVZ5,15.23,10.4,16.97,104.78,27.92,43.01,3.5,11.69,35.12,18.67,12.5,18.53,5.29,4.41,51.88,5.92,0.0,7.18,0.0,26.92,11.58,8.21,23.28,10.9
tRF-20-S3M8309N,35.54,72.82,14.14,116.43,111.66,28.68,42.03,62.34,30.1,28.0,91.7,129.74,16.54,15.44,57.65,23.69,38.54,43.07,18.94,148.07,28.96,22.98,23.28,21.8
tRF-20-V47P596V,45.7,23.41,50.9,151.35,83.75,38.24,45.53,70.13,5.02,56.0,45.85,9.27,17.87,59.56,63.41,73.04,33.4,43.07,56.82,121.15,8.69,47.59,23.28,43.59
tRF-20-VBY9PYKH,670.25,314.7,274.3,1024.54,1507.45,736.03,476.33,467.53,381.32,541.31,591.88,481.91,133.67,379.43,564.94,534.98,452.15,803.91,511.36,1049.95,330.13,1265.35,353.11,1144.35
tRF-20-WB0Q37Q5,10.16,10.4,14.14,0.0,69.79,28.68,17.51,23.38,10.03,43.55,20.84,27.8,2.65,15.44,34.59,9.87,7.71,35.89,18.94,53.84,5.79,4.92,42.68,10.9
tRF-21-18YKISQID,25.39,15.61,8.48,23.29,0.0,14.34,21.01,15.58,25.09,21.78,25.01,18.53,10.59,6.62,11.53,11.84,23.12,43.07,37.88,80.77,7.24,27.9,7.76,32.7
tRF-21-2E489B3RB,55.85,7.8,19.79,23.29,41.87,14.34,14.01,11.69,20.07,6.22,25.01,9.27,2.65,4.41,28.82,29.61,20.55,28.71,0.0,40.38,18.82,27.9,19.4,21.8
tRF-21-40KK5Y93E,15.23,2.6,28.28,69.86,41.87,43.01,14.01,27.27,15.05,49.78,25.01,37.07,11.25,15.44,46.12,27.64,15.41,21.53,25.25,67.3,21.72,52.52,23.28,87.19
tRF-21-8EKSP185D,35.54,13.0,5.66,34.93,153.54,28.68,52.54,38.96,15.05,21.78,20.84,78.77,6.62,17.65,51.88,21.72,17.98,86.13,44.19,13.46,39.09,41.03,50.44,32.7
tRF-21-9MVH7P59D,20.31,20.81,16.97,116.43,125.62,38.24,35.02,35.07,50.17,31.11,37.51,9.27,9.93,26.47,46.12,15.79,2.57,35.89,25.25,13.46,26.06,13.13,23.28,32.7
tRF-21-9N1EWJQ7D,20.31,5.2,0.0,46.57,13.96,23.9,21.01,15.58,15.05,31.11,12.5,9.27,1.99,8.82,11.53,7.9,17.98,43.07,0.0,0.0,4.34,13.13,3.88,32.7
tRF-21-FSXMSL73E,20.31,18.21,19.79,69.86,27.92,43.01,21.01,23.38,15.05,21.78,12.5,9.27,8.6,11.03,23.06,23.69,10.28,14.36,6.31,40.38,17.38,4.92,7.76,54.49
tRF-21-JOWU1M70E,116.79,36.41,70.7,128.07,279.16,152.94,87.56,46.75,60.21,136.88,141.72,125.11,44.34,63.97,132.59,80.94,89.92,143.56,88.38,215.38,72.4,152.63,69.85,108.99
tRF-21-LMK8J7K1B,137.1,127.44,39.59,116.43,293.12,71.69,94.57,124.68,10.03,96.44,70.86,171.45,15.88,22.06,74.94,51.33,231.21,186.62,88.38,148.07,62.26,118.16,65.97,130.78
tRF-21-LNK8KEP1B,25.39,13.0,2.83,58.21,41.87,23.9,21.01,11.69,5.02,9.33,4.17,27.8,2.65,0.0,11.53,11.84,15.41,14.36,12.63,13.46,15.93,29.54,7.76,10.9
tRF-21-MNH5SYNXD,45.7,28.61,87.66,197.92,125.62,124.27,70.05,50.65,60.21,146.22,141.72,60.24,31.1,44.12,121.06,67.12,53.95,150.73,94.7,67.3,50.68,59.08,89.25,76.29
tRF-21-NB8PLML3E,15.23,5.2,19.79,69.86,27.92,9.56,21.01,15.58,15.05,40.44,33.35,27.8,11.91,13.24,5.76,11.84,5.14,14.36,6.31,107.69,20.27,36.11,15.52,10.9
tRF-21-R29P4P9L0,126.94,31.21,70.7,69.86,125.62,90.81,31.52,66.23,100.35,112.0,66.69,46.34,19.85,24.27,74.94,201.36,169.56,71.78,37.88,67.3,247.59,45.95,58.2,21.8
tRF-21-S3M8309NB,91.4,7.8,22.62,11.64,69.79,62.13,7.0,42.86,35.12,37.33,29.18,9.27,5.29,4.41,98.0,9.87,28.26,64.6,18.94,67.3,18.82,21.34,31.04,76.29
tRF-21-UMX0S75ND,50.78,10.4,14.14,58.21,55.83,62.13,24.52,38.96,10.03,37.33,16.67,55.6,2.65,17.65,34.59,25.66,35.97,64.6,0.0,13.46,14.48,6.56,46.56,21.8
tRF-21-V47P596VE,187.87,109.24,107.46,174.64,237.28,200.74,101.57,159.74,90.31,108.89,212.58,139.01,33.09,90.44,172.94,211.23,100.19,229.69,126.26,148.07,65.16,201.86,147.45,141.68
tRF-21-V81H93WBE,30.47,10.4,11.31,23.29,13.96,33.46,14.01,7.79,15.05,12.44,8.34,0.0,1.32,0.0,17.29,1.97,17.98,28.71,12.63,40.38,1.45,8.21,11.64,65.39
tRF-21-VBY9PYKHD,167.56,62.42,36.76,267.78,321.03,205.52,143.6,112.99,75.26,127.55,154.22,78.77,21.84,50.74,115.29,90.81,110.47,179.44,94.7,201.91,50.68,262.59,62.09,196.17
tRF-21-W0K67205D,15.23,7.8,33.93,11.64,41.87,23.9,21.01,11.69,55.19,31.11,12.5,41.7,5.96,11.03,11.53,15.79,17.98,28.71,12.63,40.38,18.82,37.75,11.64,32.7
tRF-21-WB08Q2B5D,20.31,5.2,5.66,34.93,83.75,4.78,10.51,3.9,15.05,24.89,12.5,4.63,0.66,2.21,11.53,0.0,2.57,28.71,12.63,13.46,5.79,14.77,0.0,21.8
tRF-21-WB0Q37Q5D,111.71,85.83,33.93,116.43,293.12,119.49,94.57,105.2,60.21,155.55,75.03,69.51,13.23,72.8,69.18,67.12,87.35,272.76,119.95,255.76,52.13,11.49,73.73,228.87
tRF-21-WB8647O5D,5.08,7.8,5.66,0.0,41.87,23.9,7.0,27.27,5.02,18.67,25.01,9.27,4.63,11.03,0.0,13.82,15.41,71.78,31.57,67.3,10.14,44.31,11.64,32.7
tRF-21-WB86N7O5D,86.32,57.22,42.42,93.14,321.03,152.94,66.55,66.23,45.16,80.89,91.7,74.14,17.2,30.88,74.94,53.3,92.49,93.31,25.25,94.23,47.78,121.45,62.09,76.29
tRF-21-WD8S746DD,375.75,189.86,130.08,384.2,1088.72,119.49,119.08,319.48,230.8,320.43,162.56,250.22,54.26,101.47,201.77,94.76,151.57,394.78,132.57,363.45,146.24,320.03,190.14,196.17
tRF-21-WD8SS46DD,101.55,52.02,25.45,116.43,167.49,90.81,49.03,155.84,40.14,105.77,54.19,97.31,13.9,33.09,46.12,31.59,64.23,172.27,44.19,161.53,55.02,170.68,46.56,87.19
